gene_id;base_mean;log2FoldChange;lfcSE;stat;p_value;adj_p_value;gene_name
ENSDARG00000077002;1249,114713;0,787265338;0,126879171;38,20141461;6,38E-10;8,40E-09;igsf3
ENSDARG00000101563;804,2151871;1,046587073;0,168366577;38,1899151;6,42E-10;8,44E-09;CR354430,4
ENSDARG00000028523;2213,273205;0,699356498;0,112867617;38,18379691;6,44E-10;8,47E-09;inip
ENSDARG00000105314;49,91253166;3,838180948;0,5878266;38,18036471;6,45E-10;8,48E-09;CU459186,5
ENSDARG00000033462;629,6940704;1,683678486;0,266638743;38,17598953;6,46E-10;8,49E-09;pimr111
ENSDARG00000028159;1378,370915;1,426416819;0,226897938;38,16253946;6,51E-10;8,55E-09;tead1a
ENSDARG00000079110;5278,592811;1,185374184;0,186829819;38,15184392;6,54E-10;8,59E-09;cluap1
ENSDARG00000054023;10792,68478;1,249065136;0,199949743;38,13927771;6,59E-10;8,64E-09;ttll6
ENSDARG00000035074;1339,966191;-0,748633029;0,120526168;38,12491781;6,64E-10;8,70E-09;rtel1
ENSDARG00000101848;12692,53529;1,43129738;0,226472162;38,11363773;6,67E-10;8,74E-09;dydc2
ENSDARG00000040266;1360,608264;-0,908269626;0,146599181;38,10609728;6,70E-10;8,77E-09;sox19b
ENSDARG00000027495;282,2969653;-1,392825751;0,223642086;38,10094623;6,72E-10;8,79E-09;elovl4b
ENSDARG00000008370;11964,70207;0,897824887;0,144342234;38,09461449;6,74E-10;8,82E-09;csnk1da
ENSDARG00000105528;2914,963;1,241847816;0,199084018;38,06992835;6,83E-10;8,92E-09;si:dkey-86l18,10
ENSDARG00000058873;915,6504095;0,83145561;0,133724315;38,059846;6,86E-10;8,96E-09;ptpdc1b
ENSDARG00000097529;300,5689945;2,215638472;0,340019876;38,05817289;6,87E-10;8,97E-09;CR847983,1
ENSDARG00000019810;12086,40697;1,036434721;0,166803573;38,05201655;6,89E-10;8,99E-09;nfe2l3
ENSDARG00000070656;15870,7546;0,7638211;0,122619495;38,04326596;6,92E-10;9,03E-09;si:ch211-69g19,2
ENSDARG00000036844;445,3129057;-0,955659103;0,154349163;38,02068344;7,00E-10;9,13E-09;tsen54
ENSDARG00000100011;2890,899594;0,751399643;0,12108886;38,01927753;7,00E-10;9,13E-09;strn
ENSDARG00000070256;2870,444851;-0,744600134;0,120510311;38,01783546;7,01E-10;9,13E-09;suz12a
ENSDARG00000057013;2224,403575;1,333440049;0,212059299;38,01204893;7,03E-10;9,15E-09;cadm3
ENSDARG00000031768;327,1375257;-1,086127568;0,175502223;38,01073535;7,04E-10;9,15E-09;roraa
ENSDARG00000039466;2885,060979;0,688111089;0,111145951;38,00628769;7,05E-10;9,17E-09;hnrnph3
ENSDARG00000054583;428,9960278;-1,13537692;0,183247361;38,0070902;7,05E-10;9,17E-09;mfsd6b
ENSDARG00000069829;2453,929437;0,680441469;0,109988803;37,99189972;7,10E-10;9,23E-09;rragca
ENSDARG00000114191;890,4242905;1,383788734;0,21914868;37,98324369;7,14E-10;9,27E-09;LO018333,1
ENSDARG00000101300;1606,848194;0,671717619;0,108521697;37,95960218;7,22E-10;9,37E-09;ssna1
ENSDARG00000088123;5392,528533;0,629192858;0,10169308;37,95102605;7,25E-10;9,41E-09;znf217
ENSDARG00000035633;1471,912271;0,766151838;0,124084674;37,94337852;7,28E-10;9,44E-09;tctn2
ENSDARG00000052826;938,5132988;0,855773321;0,138541999;37,92452067;7,35E-10;9,53E-09;runx3
ENSDARG00000021794;6761,423918;0,850395546;0,136447507;37,91641237;7,38E-10;9,56E-09;hmmr
ENSDARG00000027609;2040,271699;0,823743552;0,133351151;37,91490247;7,39E-10;9,57E-09;hpn
ENSDARG00000044556;450,421619;-1,118966735;0,180036288;37,91121231;7,40E-10;9,58E-09;pacs1a
ENSDARG00000097431;1814,37221;1,109082283;0,177312039;37,89315732;7,47E-10;9,66E-09;CR392003,1
ENSDARG00000055659;132,6159899;-1,811536458;0,291387211;37,88785776;7,49E-10;9,68E-09;gpr161
ENSDARG00000087373;6985,431367;0,851519085;0,136819815;37,86952514;7,56E-10;9,77E-09;dnah5
