gene_id;base_mean;log2FoldChange;lfcSE;stat;p_value;adj_p_value;gene_name
ENSDARG00000061610;226,3082494;0,232369742;0,347728706;0,433043271;0,510499428;0,84612279;ufsp1
ENSDARG00000062289;42,80770795;-0,403325066;0,630185369;0,432676382;0,510678602;0,84612279;edaradd
ENSDARG00000063191;571,1545185;-0,184365514;0,286653269;0,432130753;0,510945268;0,84612279;extl2
ENSDARG00000068213;162,0633576;-0,276876703;0,416095182;0,430318174;0,511832867;0,84612279;fzd10
ENSDARG00000068369;521,8565849;-0,405477184;0,6066911;0,433098834;0,510472302;0,84612279;angptl2b
ENSDARG00000069832;375,2831626;0,200452468;0,301506975;0,430475313;0,511755811;0,84612279;sfxn4
ENSDARG00000070043;2261,113814;-0,189062585;0,296424713;0,429608417;0,512181155;0,84612279;dars1
ENSDARG00000070227;93,14824817;-0,443339823;0,674768003;0,433486918;0,510282912;0,84612279;nhsa
ENSDARG00000074057;26379,02028;0,228050725;0,345400827;0,433172997;0,5104361;0,84612279;calm3b
ENSDARG00000077653;1394,874301;-0,184147305;0,278646561;0,43145125;0,5112777;0,84612279;rabl6b
ENSDARG00000077769;499,4832867;-0,260546966;0,3947876;0,433724166;0,510167192;0,84612279;cited1
ENSDARG00000078440;7175,016516;0,297132005;0,45283567;0,435075934;0,509508718;0,84612279;ccdc88aa
ENSDARG00000078452;139,6893423;-0,428065133;0,688425713;0,430369114;0,511807885;0,84612279;hmox2b
ENSDARG00000078745;1540,75346;0,140739884;0,213269943;0,434973821;0,509558408;0,84612279;pnpla8
ENSDARG00000079949;20936,16425;-0,14050128;0,215122009;0,433567286;0,510243707;0,84612279;supt16h
ENSDARG00000079973;1370,762721;0,170476235;0,254343438;0,431019503;0,511489117;0,84612279;pus10
ENSDARG00000086840;1685,699598;0,213800064;0,31732487;0,431157621;0,511421467;0,84612279;si:ch211-266k8,4
ENSDARG00000088227;92,05583723;0,249632108;0,371735563;0,434824836;0,509630922;0,84612279;tmem163b
ENSDARG00000088870;120,8328417;-0,231295129;0,354975407;0,432216086;0,510903548;0,84612279;si:ch211-22k7,9
ENSDARG00000090071;1304,775126;-0,500088506;0,71796572;0,431213753;0,511393979;0,84612279;rxfp1
ENSDARG00000092551;97,99898366;-0,278350667;0,434826066;0,429940147;0,512018319;0,84612279;si:dkey-56e3,2
ENSDARG00000095477;43,40442025;-0,396792081;0,635480566;0,429719574;0,512126581;0,84612279;CU657977,1
ENSDARG00000095785;85,0659892;-0,54334017;0,818864648;0,43262597;0,51070323;0,84612279;BX511100,3
ENSDARG00000096235;37,64757403;-0,382793211;0,592903885;0,431833745;0,511090527;0,84612279;BX936397,1
ENSDARG00000097174;17,12115322;-0,581929299;0,902283033;0,430230606;0,511875815;0,84612279;BX546459,1
ENSDARG00000097302;1040,281907;0,168268233;0,251434113;0,434438355;0,509819113;0,84612279;tbpl2
ENSDARG00000097341;40,2947844;0,373163805;0,565721639;0,433763952;0,51014779;0,84612279;CR847994,1
ENSDARG00000097620;618,6946697;-0,263470657;0,403266698;0,431063016;0,511467803;0,84612279;si:ch211-210b2,1
ENSDARG00000098825;3018,265778;0,188340111;0,280197078;0,431383928;0,511310656;0,84612279;farsa
ENSDARG00000099009;92,3712486;-0,288413637;0,450544026;0,431206041;0,511397755;0,84612279;si:dkey-50i6,6
ENSDARG00000099054;300,9352053;0,240098797;0,358332707;0,430913567;0,511541015;0,84612279;BX088596,1
ENSDARG00000099546;911,8698122;0,55170928;0,857517297;0,43203618;0,510991513;0,84612279;kynu
ENSDARG00000099966;10541,05883;-0,226856362;0,354943199;0,431639092;0,511185765;0,84612279;polr2a
ENSDARG00000101438;1575,903074;0,235596813;0,359813115;0,43024576;0,511868382;0,84612279;lonp2
ENSDARG00000102472;39,9401957;-0,6884701;1,074091435;0,433016222;0,510512633;0,84612279;btbd17b
ENSDARG00000102571;11840,21343;-0,126294095;0,192406832;0,432417013;0,510805334;0,84612279;metap2b
